State,EventDate,Duration,Shape
FL,2013-01-29,25.0,circle
NY,2013-01-29,3.0,light
TX,2013-01-29,8.0,unknown
FL,2013-01-29,15.0,triangle
SD,2013-01-28,47.0,light
MI,2013-01-28,49.0,teardrop
CA,2013-01-27,13.0,light
NJ,2013-01-27,40.0,light
NC,2013-01-27,4.0,disk
PA,2013-01-27,43.0,light
WA,2013-01-27,18.0,unknown
CO,2013-01-27,25.0,triangle
GA,2013-01-27,35.0,unknown
NY,2013-01-27,12.0,light
FL,2013-01-26,5.0,sphere
IL,2013-01-26,37.0,changing
NC,2013-01-26,26.0,light
KS,2013-01-26,27.0,disk
GA,2013-01-26,26.0,egg
FL,2013-01-26,1.0,triangle
MA,2013-01-25,34.0,unknown
NM,2013-01-25,29.0,light
TX,2013-01-25,41.0,light
HI,2013-01-25,22.0,circle
ME,2013-01-25,33.0,formation
CA,2013-01-25,42.0,changing
CA,2013-01-25,36.0,light
SD,2013-01-25,18.0,formation
ME,2013-01-25,29.0,triangle
FL,2013-01-25,30.0,unknown
TX,2013-01-25,21.0,disk
NY,2013-01-25,32.0,fireball
NY,2013-01-25,44.0,flash
CA,2013-01-25,4.0,chevron
NJ,2013-01-25,12.0,unknown
OH,2013-01-24,35.0,circle
WA,2013-01-24,17.0,circle
IN,2013-01-24,35.0,disk
FL,2013-01-24,12.0,sphere
NH,2013-01-24,28.0,unknown
FL,2013-01-24,45.0,light
WV,2013-01-24,48.0,changing
NC,2013-01-24,48.0,circle
MA,2013-01-24,29.0,fireball
TX,2013-01-23,41.0,cigar
QC,2013-01-23,35.0,oval
NH,2013-01-23,14.0,fireball
MA,2013-01-23,11.0,light
WA,2013-01-23,23.0,oval
OH,2013-01-23,34.0,circle
NH,2013-01-23,29.0,rectangle
SC,2013-01-22,31.0,flash
SC,2013-01-22,18.0,fireball
CO,2013-01-22,24.0,circle
SC,2013-01-22,49.0,light
TX,2013-01-22,15.0,triangle
FL,2013-01-22,39.0,rectangle
PA,2013-01-22,14.0,circle
IL,2013-01-22,23.0,disk
DE,2013-01-21,25.0,circle
AL,2013-01-21,20.0,changing
BC,2013-01-21,30.0,changing
GA,2013-01-21,4.0,fireball
CT,2013-01-21,12.0,fireball
NY,2013-01-21,44.0,light
VA,2013-01-20,34.0,light
CA,2013-01-20,28.0,cone
VA,2013-01-20,12.0,light
AL,2013-01-20,17.0,circle
FL,2013-01-20,9.0,fireball
KS,2013-01-20,17.0,unknown
AZ,2013-01-20,23.0,circle
FL,2013-01-20,13.0,circle
KY,2013-01-20,17.0,triangle
MA,2013-01-19,6.0,flash
NC,2013-01-19,38.0,light
UT,2013-01-19,21.0,fireball
AK,2013-01-19,2.0,fireball
CT,2013-01-19,18.0,light
SC,2013-01-19,42.0,fireball
MO,2013-01-19,14.0,sphere
GA,2013-01-19,22.0,unknown
WV,2013-01-19,31.0,disk
CO,2013-01-19,14.0,disk
CO,2013-01-19,43.0,unknown
MI,2013-01-19,23.0,unknown
KS,2013-01-19,4.0,circle
VA,2013-01-18,1.0,cigar
NC,2013-01-18,10.0,circle
OH,2013-01-18,43.0,light
IL,2013-01-18,37.0,fireball
MI,2013-01-17,40.0,sphere
